date,season,home,n,p,t1,t2,r_t1,r_t2,s_t1,s_t2,p_t1,p_t2,s1_t1,s1_t2,s2_t1,s2_t2,s3_t1,s3_t2,s4_t1,s4_t2,s5_t1,s5_t2,elo_start_team1,elo_start_team2,elo_adjusted_team1,elo_adjusted_team2,probability_team1,probability_team2,elo_end_team1,elo_end_team2
1/25/2020 0:00:00,2020,GMU,0,0,PFW,GMU,1,0,3,1,,,,,,,,,,,,,1530.97236631917,1515.5480378983284,1529.97236631917,1565.5480378983284,0.4489806766767819,0.5510193233232182,1550.8362793521999,1500.6841248652986
1/25/2020 0:00:00,2020,Lindenwood,1,0,Lees,Quincy,0,1,0,3,,,,,,,,,,,,,1482.3383480039813,1434.9264206702421,1480.3383480039813,1434.9264206702421,0.5649833774876124,0.43501662251238765,1470.388846679353,1451.8759219948704
1/25/2020 0:00:00,2020,SJC Long Island,0,0,Sacred,SJC Long Island,1,0,3,0,,,,,,,,,,,,,1512.8561064777487,1419,1512.8561064777487,1469,0.5627809240571816,0.43721907594281834,1530.9726787560332,1405.8834277217154
1/25/2020 0:00:00,2020,SJC Long Island,0,0,Arcadia,Sacred,0,1,1,3,,,,,,,,,,,,,1419,1530.9726787560332,1419,1530.9726787560332,0.3442149947774881,0.6557850052225118,1412.0068834900087,1542.9657952660245
1/25/2020 0:00:00,2020,Elms,0,0,SFCB,Elms,1,0,3,2,,,,,,,,,,,,,1502.0393293858472,1419,1502.0393293858472,1469,0.547404609422367,0.45259539057763293,1517.2838577698428,1408.7554716160043
1/25/2020 0:00:00,2020,LMU,0,0,SFU,LMU,0,1,2,3,,,,,,,,,,,,,1511.130841905228,1518.5256031565423,1510.130841905228,1568.5256031565423,0.41674565449737294,0.5832543455026271,1500.2951389369734,1534.3613061247968
1/25/2020 0:00:00,2020,Alderson,0,0,St Andrews,Alderson,1,0,3,0,,,,,,,,,,,,,1373,1488.6651628075097,1372,1538.6651628075097,0.27699798076546,0.72300201923454,1399.690060577036,1466.9751022304736
1/25/2020 0:00:00,2020,Queens,0,0,Limestone,Queens,1,0,3,0,,,,,,,,,,,,,1529.8502823344998,1501.7206245055877,1529.8502823344998,1551.7206245055877,0.4685675530051226,0.5314324469948775,1550.793255744346,1485.7776510957415
1/25/2020 0:00:00,2020,Tusculum,0,0,Bluefield,Tusculum,0,1,0,3,,,,,,,,,,,,,1373,1449.8792331275843,1373,1499.8792331275843,0.3251123150362937,0.6748876849637064,1368.2466305489113,1459.632602578673
1/25/2020 0:00:00,2020,Erskine,0,0,Barton,Erskine,1,0,3,0,,,,,,,,,,,,,1536.908981979691,1483.370386489552,1535.908981979691,1533.370386489552,0.503653267570426,0.4963467324295739,1556.7993839525782,1468.4799845166647
